,Pressure,Temperature,Phase,Mass,S,H,V,Cp,Vis,Structure,Formula,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Mg#
0,2000.00,1508.15,liquid_0,99.568002,268.155046,-1198178.189350,36.633090,148.788564,2.277,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1503.15,liquid_0,99.228886,266.719263,-1195159.437890,36.512557,148.213963,2.312,,,50.7303,1.69306,14.8142,10.4513,0.171133,7.50499,11.4766,2.81168,0.161243,0.18543,56.1
1,2000.00,1503.15,olivine_0,0.339116,0.826561,-3935.944399,0.101504,0.412164,,,(Ca0.01Mg0.76Fe''0.19Mn0.05Co0.00Ni0.00)2SiO4,38.5898,0,0,17.4766,4.18334,39.1844,0.5659,0,0,0,
0,2000.00,1498.15,liquid_0,98.759635,264.924815,-1190687.260861,36.350474,147.418411,2.353,,,50.7879,1.7011,14.8846,10.4169,0.153538,7.35407,11.5284,2.82504,0.16201,0.186311,55.7
1,2000.00,1498.15,olivine_0,0.470251,1.144271,-5463.128195,0.140748,0.571602,,,(Ca0.01Mg0.77Fe''0.19Mn0.04Co0.00Ni0.00)2SiO4,38.6076,0,0,17.6892,3.87495,39.2686,0.559716,0,0,0,
0,2000.00,1493.15,liquid_0,98.296077,263.149526,-1186268.681605,36.190350,146.632160,2.394,,,50.8453,1.70912,14.9548,10.3816,0.137381,7.20324,11.5802,2.83836,0.162774,0.18719,55.3
1,2000.00,1493.15,olivine_0,0.464558,1.128475,-5401.242677,0.139027,0.564688,,,(Ca0.01Mg0.77Fe''0.19Mn0.04Co0.00Ni0.00)2SiO4,38.6218,0,0,17.9069,3.58028,39.3372,0.553774,0,0,0,
0,2000.00,1488.15,liquid_0,97.838068,261.392965,-1181903.144664,36.032147,145.855066,2.436,,,50.9025,1.71712,15.0248,10.3453,0.122581,7.05256,11.6319,2.85165,0.163536,0.188066,54.9
1,2000.00,1488.15,olivine_0,0.459009,1.113029,-5340.063128,0.137339,0.557899,,,(Ca0.01Mg0.77Fe''0.20Mn0.04Co0.00Ni0.00)2SiO4,38.6325,0,0,18.13,3.29946,39.39,0.548076,0,0,0,
0,2000.00,1483.15,liquid_0,97.385493,259.654781,-1177590.386220,35.875834,145.087031,2.478,,,50.9595,1.7251,15.0947,10.3081,0.10906,6.90211,11.6834,2.8649,0.164296,0.18894,54.4
1,2000.00,1483.15,olivine_0,0.453575,1.097866,-5279.282976,0.135678,0.551203,,,(Ca0.01Mg0.77Fe''0.20Mn0.03Co0.00Ni0.00)2SiO4,38.6395,0,0,18.3586,3.03254,39.4268,0.542625,0,0,0,
0,2000.00,1478.15,liquid_0,96.938262,257.934693,-1173330.416555,35.721391,144.328000,2.520,,,51.0163,1.73306,15.1643,10.2699,0.0967425,6.75196,11.7348,2.87812,0.165054,0.189812,54.0
1,2000.00,1478.15,olivine_0,0.448231,1.082921,-5218.614467,0.134034,0.544567,,,(Ca0.01Mg0.77Fe''0.20Mn0.03Co0.00Ni0.00)2SiO4,38.6428,0,0,18.593,2.77953,39.4472,0.53742,0,0,0,
0,2000.00,1473.15,liquid_0,96.496312,256.232484,-1169123.500986,35.568802,143.577957,2.562,,,51.073,1.741,15.2337,10.2306,0.085553,6.6022,11.7861,2.8913,0.165809,0.190681,53.5
1,2000.00,1473.15,olivine_0,0.442950,1.068136,-5157.790192,0.132401,0.537964,,,(Ca0.01Mg0.77Fe''0.20Mn0.03Co0.00Ni0.00)2SiO4,38.6424,0,0,18.8334,2.54042,39.4513,0.532463,0,0,0,
0,2000.00,1468.15,liquid_0,96.059601,254.548003,-1164970.138967,35.418062,142.836923,2.605,,,51.1295,1.74891,15.303,10.1904,0.0754193,6.45291,11.8373,2.90445,0.166563,0.191548,53.0
1,2000.00,1468.15,olivine_0,0.437711,1.053459,-5096.564922,0.130772,0.531368,,,(Ca0.01Mg0.77Fe''0.21Mn0.03Co0.00Ni0.00)2SiO4,38.6383,0,0,19.0799,2.3151,39.4389,0.527752,0,0,0,
0,2000.00,1463.15,liquid_0,95.628108,252.881150,-1160871.041186,35.269169,142.104952,2.648,,,51.1859,1.75681,15.372,10.1492,0.0662706,6.30421,11.8883,2.91755,0.167315,0.192412,52.5
1,2000.00,1463.15,olivine_0,0.432492,1.038838,-5034.717654,0.129141,0.524753,,,(Ca0.01Mg0.77Fe''0.21Mn0.02Co0.00Ni0.00)2SiO4,38.6305,0,0,19.333,2.10345,39.4098,0.523287,0,0,0,
0,2000.00,1458.15,liquid_0,95.201834,251.231875,-1156827.104538,35.122130,141.382126,2.691,,,51.2422,1.76467,15.4409,10.1069,0.0580383,6.15618,11.9393,2.93062,0.168064,0.193274,52.1
1,2000.00,1458.15,olivine_0,0.427274,1.024232,-4972.053744,0.127502,0.518099,,,(Ca0.01Mg0.77Fe''0.21Mn0.02Co0.00Ni0.00)2SiO4,38.6188,0,0,19.5926,1.90528,39.3642,0.519064,0,0,0,
0,2000.00,1453.15,liquid_0,94.780794,249.600172,-1152839.385008,34.976955,140.668555,2.735,,,51.2983,1.77251,15.5095,10.0635,0.0506559,6.00894,11.99,2.94363,0.168811,0.194132,51.6
1,2000.00,1453.15,olivine_0,0.422040,1.009602,-4908.407028,0.125851,0.511387,,,(Ca0.01Mg0.77Fe''0.22Mn0.02Co0.00Ni0.00)2SiO4,38.6035,0,0,19.859,1.72035,39.3021,0.515082,0,0,0,
0,2000.00,1448.15,liquid_0,94.365019,247.986069,-1148909.068617,34.833659,139.964367,2.778,,,51.3543,1.78032,15.5778,10.0192,0.0440587,5.86259,12.0406,2.9566,0.169554,0.194988,51.1
1,2000.00,1448.15,olivine_0,0.416775,0.994915,-4843.641778,0.124185,0.504602,,,(Ca0.01Mg0.76Fe''0.22Mn0.02Co0.00Ni0.00)2SiO4,38.5844,0,0,20.1324,1.54836,39.2235,0.511336,0,0,0,
0,2000.00,1443.15,liquid_0,93.954551,246.389623,-1145037.440717,34.692259,139.269708,2.823,,,51.4102,1.7881,15.6459,9.97377,0.0381848,5.71726,12.091,2.96952,0.170295,0.195839,50.5
1,2000.00,1443.15,olivine_0,0.411468,0.980146,-4777.654354,0.122499,0.497730,,,(Ca0.01Mg0.76Fe''0.22Mn0.02Co0.00Ni0.00)2SiO4,38.5616,0,0,20.413,1.38898,39.1286,0.507824,0,0,0,
0,2000.00,1438.15,liquid_0,93.549442,244.810911,-1141225.854045,34.552777,138.584736,2.867,,,51.466,1.79584,15.7136,9.92731,0.0329741,5.57306,12.1411,2.98238,0.171033,0.196687,50.0
1,2000.00,1438.15,olivine_0,0.406108,0.965276,-4710.374440,0.120791,0.490765,,,(Ca0.01Mg0.76Fe''0.22Mn0.01Co0.00Ni0.00)2SiO4,38.5351,0,0,20.701,1.24181,39.0175,0.504539,0,0,0,
0,2000.00,1433.15,liquid_0,93.149753,243.250027,-1137475.696070,34.415234,137.909613,2.912,,,51.5216,1.80355,15.781,9.87981,0.0283696,5.4301,12.1911,2.99518,0.171766,0.197531,49.5
1,2000.00,1433.15,olivine_0,0.400690,0.950292,-4641.765720,0.119061,0.483699,,,(Ca0.01Mg0.76Fe''0.23Mn0.01Co0.00Ni0.00)2SiO4,38.5051,0,0,20.9965,1.10643,38.8906,0.501477,0,0,0,
0,2000.00,1428.15,liquid_0,92.755544,241.707067,-1133788.356258,34.279653,137.244507,2.957,,,51.577,1.81121,15.8481,9.83127,0.0243165,5.2885,12.2408,3.00791,0.172496,0.198371,49.0
